id,description,fr
form.field.label.weightAtBirth,Label for form field: Weight at birth,Poids à la naissance
form.field.nidNotVerified,label for verified nid state,Authentifier
form.field.nidVerificationOngoing,Label for indicating offline status for the user. NID verification is not currently available offline.,L'authentification de l'identifiant national n'est actuellement pas disponible hors ligne
form.field.nidVerified,label for unverified nid state,Authentifié
form.field.previewGroups.primaryAddress,Preview groups label for form field: residential address,Adresse résidentielle
form.field.previewGroups.secondaryAddress,Preview group label for secodary address,Adresse secondaire
form.field.select.placeholder,Placeholder text for a select,Sélectionnez
form.field.tooltip.tooltipNationalID,Tooltip for form field: iD number,Il s'agit d'une info-bulle pour guider l'utilisateur dans la saisie de l'identifiant national.
form.preview.group.label.bride.english.name,Group label for bride's name in english,
form.preview.group.label.english.name,Label for child name in english,Nom
form.preview.group.label.father.english.name,Group label for father's name in english,Nom
form.preview.group.label.groom.english.name,Group label for groom's name in english,
form.preview.group.label.informant.english.name,Label for informant's name in english,Nom
form.preview.group.label.mother.english.name,Group label for mother's name in english,Nom
form.preview.group.label.spouse.english.name,Group label for spouse's name in english,Nom
form.preview.group.label.witness.one.english.name,Label for Witness one name in english,Témoin un nom anglais
form.preview.group.label.witness.two.english.name,Label for Witness two name in english,Témoin deux nom anglais
form.review.label.mainContact,Label for point of contact on the review page,Contact principal
form.section.bride.headOfBrideFamily,Form select option for witness relationship,Chef de la famille de la mariée
form.section.bride.name,Form section name for Bride,Mariée
form.section.bride.title,Form section title for Bride,Détails de la mariée
form.section.child.name,Form section name for Child,Enfant
form.section.child.title,Form section title for Child,Détails de l'enfant
form.section.deathEvent.date,Form section title for date of Death Event,Date du décès
form.section.deathEvent.name,Form section name for Death Event,Détails de l'événement de décès
form.section.deathEvent.title,Form section title for Death Event,Les détails de la mort?
form.section.deceased.name,Form section name for Deceased,Défunt
form.section.deceased.relationship,Relationship of applicant to the deceased person,Relation avec le défunt
form.section.deceased.spouse.title,Title of the spouse section,Coordonnées du conjoint
form.section.deceased.title,Form section title for Deceased,Information du défunt
form.section.declaration.name,Form section name for Registration,Déclaration
form.section.documents.birth.requirements,Documents Paragraph text,Les documents suivants sont requis
form.section.documents.name,Form section name for Documents,Documents
form.section.documents.title,Form section title for documents,Joindre des documents justificatifs
form.section.father.name,Form section name for Father,Père
form.section.father.title,Form section title for fathers details,Information du père
form.section.groom.headOfGroomFamily,Form select option for witness relationship,Chef de la famille du marié
form.section.groom.name,Form section name for Groom,Marié
form.section.groom.title,Form section title for Groom,Détails du marié
form.section.informant.name,Form section name for Informant,Informateur
form.section.informant.title,Form section title for informants details,Coordonnées de l'informateur
form.section.information.birth.bullet1,Form information for birth,Je vais vous aider à faire une déclaration de naissance.
form.section.information.birth.bullet2,Form information for birth,"En tant qu'informateur légal, il est important que toutes les informations que vous fournissez soient exactes."
form.section.information.birth.bullet3,Form information for birth,"Une fois la déclaration traitée, vous recevrez un courriel vous indiquant quand vous rendre au bureau pour retirer le certificat - Munissez-vous d'une pièce d'identité."
form.section.information.birth.bullet3.sms,Form information for birth,Once the declaration is processed you will receive an SMS to tell you when to visit the office to collect the certificate - Take your ID with you.
form.section.information.birth.bullet4,Form information for birth,Attendez un SMS vous indiquant quand vous devez vous rendre au bureau pour retirer le certificat - Prenez votre carte d'identité avec vous.
form.section.information.birth.bulletList.label,Label for the birth information bullet list,Birth Information
form.section.information.death.bullet1,Form information for death,Je vais vous aider à faire une déclaration de décès.
form.section.information.death.bullet2,Form information for death,"En tant qu'informateur légal, il est important que toutes les informations que vous fournissez soient exactes."
form.section.information.death.bullet3,Form information for death,"Une fois la déclaration traitée, vous recevrez un courriel vous indiquant quand vous rendre au bureau pour retirer le certificat - Munissez-vous d'une pièce d'identité."
form.section.information.death.bullet4,Form information for death,"Veillez à récupérer le certificat. Le certificat de décès est essentiel pour les demandes d'héritage et pour régler les affaires de la personne décédée, par exemple la fermeture des comptes bancaires et la mise en place des prêts."
form.section.information.death.bulletList.label,Label for the death information bullet list,
form.section.information.name,Form section name for Information,Informations
form.section.marriageEvent.date,Form section title for date of Marriage Event,Date du mariage
form.section.marriageEvent.name,Form section name for Marriage Event,Détails de l'événement de mariage
form.section.marriageEvent.title,Form section title for Marriage Event,Détails du mariage
form.section.mother.name,Form section name for Mother,Mère
form.section.mother.title,Form section title for mothers details,Information de la mère
form.section.spouse.title,Form section title for spouse details,
form.section.witnessOne.name,Form section name for Witness one,Témoin 1
form.section.witnessOne.title,Form section title for witnesses,Détails du témoin 1
form.section.witnessTwo.name,Form section name for Witness two,Témoin 2
form.section.witnessTwo.title,Form section title for witnesses,Détails du témoin 2
informant.name,Label for informant option in certificate correction form,Informateur
messages.emptyString,empty string,
recordAudit.archive.confirmation.body,Confirmation body for archiving a declaration,L'archivage retirera cette déclaration du traitement actif tout en la conservant à des fins d'enregistrement. Les déclarations archivées ne peuvent pas être modifiées sauf si elles sont réintégrées.
register.SelectContactPoint.heading,Form section title for contact point,Qui est le point de contact principal pour cette déclaration ?
register.eventInfo.birth.title,Event information title for the birth,Présenter la procédure d'enregistrement des naissances à l'informateur
register.eventInfo.death.title,Event information title for the death,Présenter la procédure d'enregistrement des décès à l'informateur
register.form.section.preview.name,Form section name for Preview,Prévisualiser
register.form.section.preview.title,Form section title for Preview,Prévisualiser
register.selectInformant.birthInformantTitle,Who is applying for birth registration,Type d'informateur
register.selectInformant.deathInformantTitle,Who is applying for death registration,Quel est le lien de parenté de l'informateur avec la personne décédée ?
register.selectInformant.marriageInformantTitle,Who is applying for marriage registration,Coordonnées de l'informateur
rejectModal.description,The description for reject modal,Le rejet de cette déclaration la renverra au déclarant pour mise à jour. Veuillez vous assurer qu'une raison valable pour le rejet a été enregistrée.
review.form.section.review.name,Form section name for Review,Réviser
review.form.section.review.title,Form section title for Review,Réviser
review.inputs.brideSignature,Label for bride's signature input,Signature de la mariée
review.inputs.groomSignature,Label for groom's signature input,Signature du marié
review.inputs.informantsSignature,Label for informants signature input,Signature de l'informateur
review.inputs.witnessOneSignature,Label for witnessOne's signature input,Signature du témoin 1
review.inputs.witnessTwoSignature,Label for witnessTwo's signature input,Signature du témoin 2
signature.upload.modal.title,Title for the modal to draw signature,Télécharger la signature
tennis-club-membership.searchField.helperText,This is the helper text for the field,
tennis-club-membership.searchField.indicators.clearModal.description,Description for the clear confirmation modal,
tennis-club-membership.searchField.indicators.clearModal.title,Title for the clear confirmation modal,
tennis-club-membership.searchField.indicators.ok,OK button text,
tennis-club-membership.searchField.validation.invalid,Error message for invalid value,
unit.days,Days,
unit.hours,Hours,
unit.minutes,Minutes,
userRole.administrator,Name for user role Administrator,
userRole.communityLeader,Name for user role Community Leader,Leader communautaire
userRole.embassyOffical,Name for user role Embassy Official,Officiel d'ambassade
userRole.hospitalClerk,Name for user role Hospital Official,Officiel de l'hôpital
userRole.localRegistrar,Name for user role Registrar,Registraire
userRole.nationalAdministrator,Name for user role National Administrator,
userRole.operationsManager,Name for user role Operations Manager,
userRole.provincialRegistrar,Name for user role Provincial Registrar,Registraire provincial
userRole.registrarGeneral,Name for user role Registrar General,
userRole.registrationOfficer,Name for user role Registration Officer,
v2.event.death.action.declare.form.section.deceased.field.addressHelper.label,This is the label for the field,Lieu de résidence habituel
v2.event.death.action.declare.form.section.deceased.field.age.checkbox.label,This is the label for the field,Date de naissance exacte inconnue
v2.event.death.action.declare.form.section.deceased.field.age.postfix,This is the postfix for age field,years
v2.event.death.action.declare.form.section.deceased.field.maritalStatus.label,This is the label for the field,Marital Status
v2.event.death.action.declare.form.section.person.field.brn.label,This is the label for the field,Numéro d'identification
v2.event.death.action.declare.form.section.person.field.idType.label,This is the label for the field,Type d'identification
v2.event.death.action.declare.form.section.person.field.nationality.label,This is the label for the field,Nationalité
v2.event.death.action.declare.form.section.person.field.nid.label,This is the label for the field,Numéro d'identification
v2.event.death.action.declare.form.section.person.field.passport.label,This is the label for the field,Numéro d'identification
workqueues.assignedToYou.title,Title of assigned to you workqueue,Attribué à vous
workqueues.correctionRequested.title,Title of correction requested workqueue,Corrections en attente
workqueues.dateOfEvent,Label for workqueue column: dateOfEvent,Date de l'événement
workqueues.escalated.title,Title of escalated workqueue,Transmis
workqueues.inExternalValidation.title,Title of pending external validation workqueue,En attente de validation externe
workqueues.notifications.emptyMessage,Empty message for notifications workqueue,
workqueues.notifications.title,Title of notifications workqueue,Notifications
workqueues.pendingCertification.emptyMessage,Empty message for pending certification workqueue,Aucun dossier de certification en attente
workqueues.pendingCertification.title,Title of pending certification workqueue,Certification en attente
workqueues.pendingFeedback.title,Title of pending feedback workqueue,En attente de commentaires
workqueues.pendingIssuance.title,Title of pending issuance workqueue,En attente d'émission
workqueues.pendingRegistration.title,Title of pending registration workqueue,Inscription en attente
workqueues.pendingUpdates.title,Title of pending updates workqueue,Mises à jour en attente
workqueues.pendingValidation.title,Title of pending validation workqueue,En attente de validation
workqueues.potentialDuplicate.title,Title of potential duplicate workqueue,Duplicata potentiel
workqueues.recent.emptyMessage,Empty message for recent workqueue,
workqueues.recent.title,Title of recent workqueue,Récent
workqueues.requiresApproval.title,Title of Pending approval workqueue,En attente d'approbation
